------     testcase/PatternMatch.c     ------
[ 196]operator(40):       (
[ 196]identifier:         row
[ 196]operator(61):       =
[ 196]constant:           5
[ 196]delimiter:          ;
[ 196]identifier:         row
[ 196]operator(60):       <
[ 196]identifier:         IMG_ROW
[ 196]operator(76):       &&
[ 196]identifier:         IsWhite
[ 196]operator(40):       (
[ 196]identifier:         row
[ 196]delimiter:          ,
[ 196]identifier:         resultSet
[ 196]operator(46):       .
[ 196]identifier:         middleLine
[ 196]delimiter:          [
[ 196]identifier:         row
[ 196]delimiter:          ]
[ 196]operator(41):       )
[ 196]delimiter:          ;
[ 196]operator(86):       ++
[ 196]identifier:         row
[ 196]operator(41):       )
[ 196]delimiter:          {
[ 196]delimiter:          }
[ 197]reserved word(15):  if
[ 197]operator(40):       (
[ 197]identifier:         row
[ 197]operator(60):       <
[ 197]identifier:         IMG_ROW
[ 197]operator(76):       &&
[ 197]operator(33):       !
[ 197]identifier:         InRange
[ 197]operator(40):       (
[ 197]identifier:         resultSet
[ 197]operator(46):       .
[ 197]identifier:         middleLine
[ 197]delimiter:          [
[ 197]identifier:         row
[ 197]delimiter:          ]
[ 197]delimiter:          ,
[ 197]identifier:         IMG_COL
[ 197]operator(47):       /
[ 197]constant:           2
[ 197]operator(45):       -
[ 197]constant:           22
[ 197]delimiter:          ,
[ 197]identifier:         IMG_COL
[ 197]operator(47):       /
[ 197]constant:           2
[ 197]operator(43):       +
[ 197]constant:           22
[ 197]operator(41):       )
[ 197]operator(41):       )
[ 197]delimiter:          {
[ 198]identifier:         black_pt_row
[ 198]operator(61):       =
[ 198]identifier:         row
[ 198]delimiter:          ;
[ 199]reserved word(13):  for
[ 199]operator(40):       (
[ 199]delimiter:          ;
[ 199]identifier:         row
[ 199]operator(123):       >=
[ 199]constant:           0
[ 199]delimiter:          ;
[ 199]operator(90):       --
[ 199]identifier:         row
[ 199]operator(41):       )
[ 199]delimiter:          {
[ 200]reserved word(15):  if
[ 200]operator(40):       (
[ 200]operator(33):       !
[ 200]identifier:         resultSet
[ 200]operator(46):       .
[ 200]identifier:         foundLeftBorder
[ 200]delimiter:          [
[ 200]identifier:         row
[ 200]delimiter:          ]
[ 200]operator(41):       )
[ 200]delimiter:          {
[ 201]identifier:         leftCurve
[ 201]operator(61):       =
[ 201]constant:           true
[ 201]delimiter:          ;
[ 202]reserved word( 1):  break
[ 202]delimiter:          ;
[ 203]delimiter:          }
[ 203]reserved word( 9):  else
[ 203]reserved word(15):  if
[ 203]operator(40):       (
[ 203]operator(33):       !
[ 203]identifier:         resultSet
[ 203]operator(46):       .
[ 203]identifier:         foundRightBorder
[ 203]delimiter:          [
[ 203]identifier:         row
[ 203]delimiter:          ]
[ 203]operator(41):       )
[ 203]delimiter:          {
[ 204]identifier:         rightCurve
[ 204]operator(61):       =
[ 204]constant:           true
[ 204]delimiter:          ;
[ 205]reserved word( 1):  break
[ 205]delimiter:          ;
[ 206]delimiter:          }
[ 207]delimiter:          }
[ 208]reserved word(15):  if
[ 208]operator(40):       (
[ 208]identifier:         leftCurve
[ 208]operator(41):       )
[ 208]delimiter:          {
[ 209]reserved word(13):  for
[ 209]operator(40):       (
[ 209]delimiter:          ;
[ 209]identifier:         row
[ 209]operator(123):       >=
[ 209]constant:           0
[ 209]delimiter:          ;
[ 209]operator(90):       --
[ 209]identifier:         row
[ 209]operator(41):       )
[ 209]delimiter:          {
[ 210]reserved word(15):  if
[ 210]operator(40):       (
[ 210]operator(33):       !
[ 210]identifier:         resultSet
[ 210]operator(46):       .
[ 210]identifier:         foundLeftBorder
[ 210]delimiter:          [
[ 210]identifier:         row
[ 210]delimiter:          ]
[ 210]operator(76):       &&
[ 210]identifier:         resultSet
[ 210]operator(46):       .
[ 210]identifier:         foundRightBorder
[ 210]delimiter:          [
[ 210]identifier:         row
[ 210]delimiter:          ]
[ 210]operator(41):       )
[ 210]delimiter:          {
[ 211]operator(86):       ++
[ 211]identifier:         cnt
[ 211]delimiter:          ;
[ 212]reserved word(15):  if
[ 212]operator(40):       (
[ 212]identifier:         cnt
[ 212]operator(62):       >
[ 212]constant:           5
[ 212]operator(41):       )
[ 212]delimiter:          {
[ 213]reserved word(19):  return
[ 213]identifier:         LeftCurve
[ 213]delimiter:          ;
[ 214]delimiter:          }
[ 215]delimiter:          }
[ 216]delimiter:          }
[ 217]delimiter:          }
[ 217]reserved word( 9):  else
[ 217]reserved word(15):  if
[ 217]operator(40):       (
[ 217]identifier:         rightCurve
[ 217]operator(41):       )
[ 217]delimiter:          {
[ 218]reserved word(13):  for
[ 218]operator(40):       (
[ 218]delimiter:          ;
[ 218]identifier:         row
[ 218]operator(123):       >=
[ 218]constant:           0
[ 218]delimiter:          ;
[ 218]operator(90):       --
[ 218]identifier:         row
[ 218]operator(41):       )
[ 218]delimiter:          {
[ 219]reserved word(15):  if
[ 219]operator(40):       (
[ 219]operator(33):       !
[ 219]identifier:         resultSet
[ 219]operator(46):       .
[ 219]identifier:         foundRightBorder
[ 219]delimiter:          [
[ 219]identifier:         row
[ 219]delimiter:          ]
[ 219]operator(76):       &&
[ 219]identifier:         resultSet
[ 219]operator(46):       .
[ 219]identifier:         foundLeftBorder
[ 219]delimiter:          [
[ 219]identifier:         row
[ 219]delimiter:          ]
[ 219]operator(41):       )
[ 219]delimiter:          {
[ 220]operator(86):       ++
[ 220]identifier:         cnt
[ 220]delimiter:          ;
[ 221]reserved word(15):  if
[ 221]operator(40):       (
[ 221]identifier:         cnt
[ 221]operator(62):       >
[ 221]constant:           5
[ 221]operator(41):       )
[ 221]delimiter:          {
[ 222]reserved word(19):  return
[ 222]identifier:         RightCurve
[ 222]delimiter:          ;
[ 223]delimiter:          }
[ 224]delimiter:          }
[ 225]delimiter:          }
[ 226]delimiter:          }
[ 227]delimiter:          }
[ 228]reserved word(19):  return
[ 228]identifier:         Unknown
[ 228]delimiter:          ;
[ 229]delimiter:          }
[ 231]reserved word(33):  bool
[ 231]identifier:         IsCrossRoad
[ 231]operator(40):       (
[ 231]operator(41):       )
[ 231]delimiter:          {
[ 232]reserved word(19):  return
[ 232]identifier:         resultSet
[ 232]operator(46):       .
[ 232]identifier:         leftBorderNotFoundCnt
[ 232]operator(62):       >
[ 232]constant:           2
[ 232]operator(76):       &&
[ 232]identifier:         resultSet
[ 232]operator(46):       .
[ 232]identifier:         rightBorderNotFoundCnt
[ 232]operator(62):       >
[ 232]constant:           2
[ 233]operator(76):       &&
[ 233]identifier:         resultSet
[ 233]operator(46):       .
[ 233]identifier:         leftBorderNotFoundCnt
[ 233]operator(43):       +
[ 233]identifier:         resultSet
[ 233]operator(46):       .
[ 233]identifier:         rightBorderNotFoundCnt
[ 233]operator(62):       >
[ 233]constant:           10
[ 233]delimiter:          ;
[ 234]delimiter:          }
[ 236]identifier:         int16_t
[ 236]identifier:         WhichBarrier
[ 236]operator(40):       (
[ 236]operator(41):       )
[ 236]delimiter:          {
[ 237]identifier:         int16_t
[ 237]identifier:         inRow
[ 237]delimiter:          ;
[ 238]identifier:         int16_t
[ 238]identifier:         outRow
[ 238]delimiter:          ;
[ 239]identifier:         int16_t
[ 239]identifier:         row
[ 239]delimiter:          ;
[ 240]identifier:         int16_t
[ 240]identifier:         _barrierType
[ 240]delimiter:          ;
[ 241]reserved word(13):  for
[ 241]operator(40):       (
[ 241]identifier:         row
[ 241]operator(61):       =
[ 241]constant:           10
[ 241]delimiter:          ;
[ 241]identifier:         row
[ 241]operator(60):       <
[ 241]constant:           45
[ 241]operator(76):       &&
[ 241]identifier:         Abs
[ 241]operator(40):       (
[ 241]identifier:         resultSet
[ 241]operator(46):       .
[ 241]identifier:         middleLine
[ 241]delimiter:          [
[ 241]identifier:         row
[ 241]delimiter:          ]
[ 241]operator(45):       -
[ 241]identifier:         resultSet
[ 241]operator(46):       .
[ 241]identifier:         middleLine
[ 241]delimiter:          [
[ 241]identifier:         row
[ 241]operator(45):       -
[ 241]constant:           2
[ 241]delimiter:          ]
[ 241]operator(41):       )
[ 241]operator(121):       <=
[ 241]constant:           16
[ 241]delimiter:          ;
[ 241]operator(86):       ++
[ 241]identifier:         row
[ 241]operator(41):       )
[ 241]delimiter:          {
[ 241]delimiter:          }
[ 242]reserved word(15):  if
[ 242]operator(40):       (
[ 242]operator(33):       !
[ 242]identifier:         InRange
[ 242]operator(40):       (
[ 242]identifier:         resultSet
[ 242]operator(46):       .
[ 242]identifier:         middleLine
[ 242]delimiter:          [
[ 242]identifier:         row
[ 242]operator(45):       -
[ 242]constant:           2
[ 242]delimiter:          ]
[ 242]delimiter:          ,
[ 242]identifier:         IMG_COL
[ 242]operator(47):       /
[ 242]constant:           2
[ 242]operator(45):       -
[ 242]constant:           20
[ 242]delimiter:          ,
[ 242]identifier:         IMG_COL
[ 242]operator(47):       /
[ 242]constant:           2
[ 242]operator(43):       +
[ 242]constant:           20
[ 242]operator(41):       )
[ 242]operator(41):       )
[ 242]delimiter:          {
[ 243]reserved word(19):  return
[ 243]identifier:         Unknown
[ 243]delimiter:          ;
[ 244]delimiter:          }
[ 246]identifier:         _barrierType
[ 246]operator(61):       =
[ 246]identifier:         resultSet
[ 246]operator(46):       .
[ 246]identifier:         middleLine
[ 246]delimiter:          [
[ 246]identifier:         row
[ 246]delimiter:          ]
[ 246]operator(45):       -
[ 246]identifier:         resultSet
[ 246]operator(46):       .
[ 246]identifier:         middleLine
[ 246]delimiter:          [
[ 246]identifier:         row
[ 246]operator(45):       -
[ 246]constant:           2
[ 246]delimiter:          ]
[ 246]operator(62):       >
[ 246]constant:           0
[ 246]operator(63):       ?
[ 246]identifier:         LeftBarrier
[ 246]operator(58):       :
[ 246]identifier:         RightBarrier
[ 246]delimiter:          ;
[ 248]identifier:         inRow
[ 248]operator(61):       =
[ 248]identifier:         row
[ 248]delimiter:          ;
[ 249]identifier:         row
[ 249]operator(104):       +=
[ 249]constant:           2
[ 249]delimiter:          ;
[ 250]reserved word(13):  for
[ 250]operator(40):       (
[ 250]delimiter:          ;
[ 250]identifier:         row
[ 250]operator(60):       <
[ 250]identifier:         IMG_ROW
[ 250]operator(76):       &&
[ 250]identifier:         Abs
[ 250]operator(40):       (
[ 250]identifier:         resultSet
[ 250]operator(46):       .
[ 250]identifier:         middleLine
[ 250]delimiter:          [
[ 250]identifier:         row
[ 250]delimiter:          ]
[ 250]operator(45):       -
[ 250]identifier:         resultSet
[ 250]operator(46):       .
[ 250]identifier:         middleLine
[ 250]delimiter:          [
[ 250]identifier:         row
[ 250]operator(45):       -
[ 250]constant:           2
[ 250]delimiter:          ]
[ 250]operator(41):       )
[ 250]operator(121):       <=
[ 250]constant:           10
[ 250]delimiter:          ;
[ 250]operator(86):       ++
[ 250]identifier:         row
[ 250]operator(41):       )
[ 250]delimiter:          {
[ 250]delimiter:          }
[ 251]reserved word(15):  if
[ 251]operator(40):       (
[ 251]operator(40):       (
[ 251]identifier:         resultSet
[ 251]operator(46):       .
[ 251]identifier:         middleLine
[ 251]delimiter:          [
[ 251]identifier:         row
[ 251]delimiter:          ]
[ 251]operator(45):       -
[ 251]identifier:         resultSet
[ 251]operator(46):       .
[ 251]identifier:         middleLine
[ 251]delimiter:          [
[ 251]identifier:         row
[ 251]operator(45):       -
[ 251]constant:           2
[ 251]delimiter:          ]
[ 251]operator(62):       >
[ 251]constant:           0
[ 251]operator(76):       &&
[ 251]identifier:         _barrierType
[ 251]operator(122):       ==
[ 251]identifier:         LeftBarrier
[ 251]operator(41):       )
[ 252]operator(248):       ||
[ 252]operator(40):       (
[ 252]identifier:         resultSet
[ 252]operator(46):       .
[ 252]identifier:         middleLine
[ 252]delimiter:          [
[ 252]identifier:         row
[ 252]delimiter:          ]
[ 252]operator(45):       -
[ 252]identifier:         resultSet
[ 252]operator(46):       .
[ 252]identifier:         middleLine
[ 252]delimiter:          [
[ 252]identifier:         row
[ 252]operator(45):       -
[ 252]constant:           2
[ 252]delimiter:          ]
[ 252]operator(60):       <
[ 252]constant:           0
[ 252]operator(76):       &&
[ 252]identifier:         _barrierType
[ 252]operator(122):       ==
[ 252]identifier:         RightBarrier
[ 252]operator(41):       )
[ 252]operator(41):       )
[ 252]delimiter:          {
[ 253]reserved word(19):  return
[ 253]identifier:         Unknown
[ 253]delimiter:          ;
[ 254]delimiter:          }
[ 255]identifier:         outRow
[ 255]operator(61):       =
[ 255]identifier:         row
[ 255]delimiter:          ;
[ 256]reserved word(15):  if
[ 256]operator(40):       (
[ 256]identifier:         outRow
[ 256]operator(45):       -
[ 256]identifier:         inRow
[ 256]operator(62):       >
[ 256]constant:           5
[ 256]operator(76):       &&
[ 256]identifier:         row
[ 256]operator(60):       <
[ 256]identifier:         IMG_ROW
[ 256]operator(76):       &&
[ 256]identifier:         resultSet
[ 256]operator(46):       .
[ 256]identifier:         middleLine
[ 256]delimiter:          [
[ 256]identifier:         row
[ 256]delimiter:          ]
[ 256]operator(62):       >
[ 256]identifier:         IMG_COL
[ 256]operator(47):       /
[ 256]constant:           2
[ 256]operator(45):       -
[ 256]constant:           20
[ 257]operator(76):       &&
[ 257]identifier:         resultSet
[ 257]operator(46):       .
[ 257]identifier:         middleLine
[ 257]delimiter:          [
[ 257]identifier:         row
[ 257]delimiter:          ]
[ 257]operator(60):       <
[ 257]identifier:         IMG_COL
[ 257]operator(47):       /
[ 257]constant:           2
[ 257]operator(43):       +
[ 257]constant:           20
[ 257]operator(41):       )
[ 257]delimiter:          {
[ 258]identifier:         aroundBarrier
[ 258]operator(61):       =
[ 258]constant:           true
[ 258]delimiter:          ;
[ 259]reserved word(19):  return
[ 259]identifier:         barrierType
[ 259]operator(61):       =
[ 259]identifier:         _barrierType
[ 259]delimiter:          ;
[ 260]delimiter:          }
[ 260]reserved word( 9):  else
[ 260]delimiter:          {
[ 261]reserved word(19):  return
[ 261]identifier:         Unknown
[ 261]delimiter:          ;
[ 262]delimiter:          }
[ 263]delimiter:          }
[ 265]reserved word(29):  void
[ 265]identifier:         RingCompensateGoLeft
[ 265]operator(40):       (
[ 265]operator(41):       )
[ 265]delimiter:          {
[ 266]reserved word(16):  int
[ 266]identifier:         row
[ 266]delimiter:          ;
[ 267]reserved word(13):  for
[ 267]operator(40):       (
[ 267]identifier:         row
[ 267]operator(61):       =
[ 267]identifier:         IMG_ROW
[ 267]operator(45):       -
[ 267]constant:           1
[ 267]delimiter:          ;
[ 268]identifier:         row
[ 268]operator(123):       >=
[ 268]constant:           30
[ 268]operator(76):       &&
[ 268]identifier:         IsWhite
[ 268]operator(40):       (
[ 268]identifier:         row
[ 268]delimiter:          ,
[ 268]identifier:         IMG_COL
[ 268]operator(47):       /
[ 268]constant:           2
[ 268]operator(41):       )
[ 268]delimiter:          ;
[ 268]operator(90):       --
[ 268]identifier:         row
[ 268]operator(41):       )
[ 268]delimiter:          {
[ 268]delimiter:          }
[ 269]reserved word(13):  for
[ 269]operator(40):       (
[ 269]delimiter:          ;
[ 269]identifier:         row
[ 269]operator(123):       >=
[ 269]constant:           10
[ 269]operator(76):       &&
[ 269]identifier:         IsBlack
[ 269]operator(40):       (
[ 269]identifier:         row
[ 269]delimiter:          ,
[ 269]identifier:         IMG_COL
[ 269]operator(47):       /
[ 269]constant:           2
[ 269]operator(41):       )
[ 269]delimiter:          ;
[ 269]operator(90):       --
[ 269]identifier:         row
[ 269]operator(41):       )
[ 269]delimiter:          {
[ 269]delimiter:          }
[ 270]reserved word(16):  int
[ 270]identifier:         col
[ 270]delimiter:          ;
[ 271]reserved word(13):  for
[ 271]operator(40):       (
[ 271]identifier:         col
[ 271]operator(61):       =
[ 271]identifier:         IMG_COL
[ 271]operator(47):       /
[ 271]constant:           2
[ 271]delimiter:          ;
[ 271]identifier:         col
[ 271]operator(123):       >=
[ 271]constant:           0
[ 271]operator(76):       &&
[ 271]identifier:         IsBlack
[ 271]operator(40):       (
[ 271]identifier:         row
[ 271]operator(43):       +
[ 271]constant:           1
[ 271]delimiter:          ,
[ 271]identifier:         col
[ 271]operator(41):       )
[ 271]delimiter:          ;
[ 271]operator(90):       --
[ 271]identifier:         col
[ 271]operator(41):       )
[ 271]delimiter:          {
[ 271]delimiter:          }
[ 272]reserved word(13):  for
[ 272]operator(40):       (
[ 272]reserved word(16):  int
[ 272]identifier:         i
[ 272]operator(61):       =
[ 272]identifier:         row
[ 272]delimiter:          ;
[ 272]identifier:         i
[ 272]operator(62):       >
[ 272]constant:           0
[ 272]delimiter:          ;
[ 272]operator(90):       --
[ 272]identifier:         i
[ 272]operator(41):       )
[ 273]delimiter:          {
[ 274]identifier:         resultSet
[ 274]operator(46):       .
[ 274]identifier:         rightBorder
[ 274]delimiter:          [
[ 274]identifier:         i
[ 274]delimiter:          ]
[ 274]operator(61):       =
[ 274]identifier:         col
[ 274]operator(43):       +
[ 274]operator(40):       (
[ 274]identifier:         row
[ 274]operator(43):       +
[ 274]constant:           1
[ 274]operator(45):       -
[ 274]identifier:         i
[ 274]operator(41):       )
[ 274]operator(42):       *
[ 274]operator(40):       (
[ 274]identifier:         resultSet
[ 274]operator(46):       .
[ 274]identifier:         rightBorder
[ 274]delimiter:          [
[ 274]constant:           0
[ 274]delimiter:          ]
[ 274]operator(45):       -
[ 274]identifier:         col
[ 274]operator(41):       )
[ 274]operator(47):       /
[ 274]identifier:         row
[ 274]delimiter:          ;
[ 275]identifier:         MiddleLineUpdate
[ 275]operator(40):       (
[ 275]identifier:         i
[ 275]operator(41):       )
[ 275]delimiter:          ;
[ 276]delimiter:          }
[ 277]identifier:         int16_t
[ 277]identifier:         borderSearchStart
[ 277]operator(61):       =
[ 277]identifier:         col
[ 277]operator(47):       /
[ 277]constant:           2
[ 277]delimiter:          ;
[ 278]reserved word(13):  for
[ 278]operator(40):       (
[ 278]reserved word(16):  int
[ 278]identifier:         i
[ 278]operator(61):       =
[ 278]identifier:         row
[ 278]delimiter:          ;
[ 278]identifier:         i
[ 278]operator(60):       <
[ 278]identifier:         IMG_ROW
[ 278]delimiter:          ;
[ 278]operator(86):       ++
[ 278]identifier:         i
[ 278]operator(41):       )
[ 279]delimiter:          {
[ 280]identifier:         LeftBorderSearchFrom
[ 280]operator(40):       (
[ 280]identifier:         i
[ 280]delimiter:          ,
[ 280]identifier:         borderSearchStart
[ 280]operator(41):       )
[ 280]delimiter:          ;
[ 281]identifier:         RightBorderSearchFrom
[ 281]operator(40):       (
[ 281]identifier:         i
[ 281]delimiter:          ,
[ 281]identifier:         borderSearchStart
[ 281]operator(41):       )
[ 281]delimiter:          ;
[ 282]identifier:         MiddleLineUpdate
[ 282]operator(40):       (
[ 282]identifier:         i
[ 282]operator(41):       )
[ 282]delimiter:          ;
[ 283]identifier:         borderSearchStart
[ 283]operator(61):       =
[ 283]identifier:         resultSet
[ 283]operator(46):       .
[ 283]identifier:         middleLine
[ 283]delimiter:          [
[ 283]identifier:         i
[ 283]delimiter:          ]
[ 283]delimiter:          ;
[ 284]delimiter:          }
[ 285]delimiter:          }
[ 287]reserved word(29):  void
[ 287]identifier:         RingCompensateGoRight
[ 287]operator(40):       (
[ 287]operator(41):       )
[ 287]delimiter:          {
[ 288]reserved word(16):  int
[ 288]identifier:         row
[ 288]delimiter:          ;
[ 289]reserved word(13):  for
[ 289]operator(40):       (
[ 289]identifier:         row
[ 289]operator(61):       =
[ 289]identifier:         IMG_ROW
[ 289]operator(45):       -
[ 289]constant:           1
[ 289]delimiter:          ;
[ 290]identifier:         row
[ 290]operator(123):       >=
[ 290]constant:           30
[ 290]operator(76):       &&
[ 290]identifier:         IsWhite
[ 290]operator(40):       (
[ 290]identifier:         row
[ 290]delimiter:          ,
[ 290]identifier:         IMG_COL
[ 290]operator(47):       /
[ 290]constant:           2
[ 290]operator(41):       )
[ 290]delimiter:          ;
[ 290]operator(90):       --
[ 290]identifier:         row
[ 290]operator(41):       )
[ 290]delimiter:          {
[ 290]delimiter:          }
[ 291]reserved word(13):  for
[ 291]operator(40):       (
[ 291]delimiter:          ;
[ 291]identifier:         row
[ 291]operator(123):       >=
[ 291]constant:           10
[ 291]operator(76):       &&
[ 291]identifier:         IsBlack
[ 291]operator(40):       (
[ 291]identifier:         row
[ 291]delimiter:          ,
[ 291]identifier:         IMG_COL
[ 291]operator(47):       /
[ 291]constant:           2
[ 291]operator(41):       )
[ 291]delimiter:          ;
[ 291]operator(90):       --
[ 291]identifier:         row
[ 291]operator(41):       )
[ 291]delimiter:          {
[ 291]delimiter:          }
[ 292]reserved word(16):  int
[ 292]identifier:         col
[ 292]delimiter:          ;
[ 293]reserved word(13):  for
[ 293]operator(40):       (
[ 293]identifier:         col
[ 293]operator(61):       =
[ 293]identifier:         IMG_COL
[ 293]operator(47):       /
[ 293]constant:           2
[ 293]delimiter:          ;
[ 293]identifier:         col
[ 293]operator(60):       <
[ 293]identifier:         IMG_COL
[ 293]operator(76):       &&
[ 293]identifier:         IsBlack
[ 293]operator(40):       (
[ 293]identifier:         row
[ 293]operator(43):       +
[ 293]constant:           1
[ 293]delimiter:          ,
[ 293]identifier:         col
[ 293]operator(41):       )
[ 293]delimiter:          ;
[ 293]operator(86):       ++
[ 293]identifier:         col
[ 293]operator(41):       )
[ 293]delimiter:          {
[ 293]delimiter:          }
[ 294]reserved word(13):  for
[ 294]operator(40):       (
[ 294]reserved word(16):  int
[ 294]identifier:         i
[ 294]operator(61):       =
[ 294]identifier:         row
[ 294]delimiter:          ;
[ 294]identifier:         i
[ 294]operator(62):       >
[ 294]constant:           0
[ 294]delimiter:          ;
[ 294]operator(90):       --
[ 294]identifier:         i
[ 294]operator(41):       )
[ 295]delimiter:          {
[ 296]identifier:         resultSet
[ 296]operator(46):       .
[ 296]identifier:         leftBorder
[ 296]delimiter:          [
[ 296]identifier:         i
[ 296]delimiter:          ]
[ 296]operator(61):       =
[ 296]identifier:         col
[ 296]operator(45):       -
[ 296]operator(40):       (
[ 296]identifier:         row
[ 296]operator(43):       +
[ 296]constant:           1
[ 296]operator(45):       -
[ 296]identifier:         i
[ 296]operator(41):       )
[ 296]operator(42):       *
[ 296]operator(40):       (
[ 296]identifier:         col
[ 296]operator(45):       -
[ 296]identifier:         resultSet
[ 296]operator(46):       .
[ 296]identifier:         leftBorder
[ 296]delimiter:          [
[ 296]constant:           0
[ 296]delimiter:          ]
[ 296]operator(41):       )
[ 296]operator(47):       /
[ 296]identifier:         row
[ 296]delimiter:          ;
[ 297]identifier:         MiddleLineUpdate
[ 297]operator(40):       (
[ 297]identifier:         i
[ 297]operator(41):       )
[ 297]delimiter:          ;
[ 298]delimiter:          }
[ 299]identifier:         int16_t
[ 299]identifier:         borderSearchStart
[ 299]operator(61):       =
[ 299]identifier:         col
[ 299]operator(43):       +
[ 299]operator(40):       (
[ 299]identifier:         IMG_COL
[ 299]operator(45):       -
[ 299]identifier:         col
[ 299]operator(41):       )
[ 299]operator(47):       /
[ 299]constant:           2
[ 299]delimiter:          ;
[ 300]reserved word(13):  for
[ 300]operator(40):       (
[ 300]reserved word(16):  int
[ 300]identifier:         i
[ 300]operator(61):       =
[ 300]identifier:         row
[ 300]delimiter:          ;
[ 300]identifier:         i
[ 300]operator(60):       <
[ 300]identifier:         IMG_ROW
[ 300]delimiter:          ;
[ 300]operator(86):       ++
[ 300]identifier:         i
[ 300]operator(41):       )
[ 301]delimiter:          {
[ 302]identifier:         LeftBorderSearchFrom
[ 302]operator(40):       (
[ 302]identifier:         i
[ 302]delimiter:          ,
[ 302]identifier:         borderSearchStart
[ 302]operator(41):       )
[ 302]delimiter:          ;
[ 303]identifier:         RightBorderSearchFrom
[ 303]operator(40):       (
[ 303]identifier:         i
[ 303]delimiter:          ,
[ 303]identifier:         borderSearchStart
[ 303]operator(41):       )
[ 303]delimiter:          ;
[ 304]identifier:         MiddleLineUpdate
[ 304]operator(40):       (
[ 304]identifier:         i
[ 304]operator(41):       )
[ 304]delimiter:          ;
[ 305]identifier:         borderSearchStart
[ 305]operator(61):       =
[ 305]identifier:         resultSet
[ 305]operator(46):       .
[ 305]identifier:         middleLine
[ 305]delimiter:          [
[ 305]identifier:         i
[ 305]delimiter:          ]
[ 305]delimiter:          ;
[ 306]delimiter:          }
[ 307]delimiter:          }
[ 309]reserved word(29):  void
[ 309]identifier:         RingEndCompensateFromLeft
[ 309]operator(40):       (
[ 309]operator(41):       )
[ 309]delimiter:          {
[ 310]identifier:         int16_t
[ 310]identifier:         row
[ 310]delimiter:          ;
[ 311]identifier:         int16_t
[ 311]identifier:         col
[ 311]delimiter:          ;
[ 312]reserved word(13):  for
[ 312]operator(40):       (
[ 312]identifier:         row
[ 312]operator(61):       =
[ 312]identifier:         last_not_found_border_row
[ 312]delimiter:          ;
[ 312]identifier:         row
[ 312]operator(60):       <
[ 312]identifier:         IMG_ROW
[ 312]delimiter:          ;
[ 312]operator(86):       ++
[ 312]identifier:         row
[ 312]operator(41):       )
[ 312]delimiter:          {
[ 313]reserved word(15):  if
[ 313]operator(40):       (
[ 313]identifier:         resultSet
[ 313]operator(46):       .
[ 313]identifier:         rightBorder
[ 313]delimiter:          [
[ 313]identifier:         row
[ 313]delimiter:          ]
[ 313]operator(60):       <
[ 313]identifier:         IMG_COL
[ 313]operator(45):       -
[ 313]constant:           40
[ 313]operator(41):       )
[ 313]delimiter:          {
[ 314]identifier:         col
[ 314]operator(61):       =
[ 314]identifier:         resultSet
[ 314]operator(46):       .
[ 314]identifier:         rightBorder
[ 314]delimiter:          [
[ 314]identifier:         row
[ 314]delimiter:          ]
[ 314]delimiter:          ;
[ 315]reserved word( 1):  break
[ 315]delimiter:          ;
[ 316]delimiter:          }
[ 317]delimiter:          }
[ 318]reserved word(15):  if
[ 318]operator(40):       (
[ 318]identifier:         row
[ 318]operator(60):       <
[ 318]identifier:         IMG_ROW
[ 318]operator(41):       )
[ 318]delimiter:          {
[ 319]operator(90):       --
[ 319]identifier:         row
[ 319]delimiter:          ;
[ 320]reserved word(13):  for
[ 320]operator(40):       (
[ 320]delimiter:          ;
[ 320]identifier:         row
[ 320]operator(123):       >=
[ 320]constant:           0
[ 320]delimiter:          ;
[ 320]operator(90):       --
[ 320]identifier:         row
[ 320]operator(41):       )
[ 320]delimiter:          {
[ 321]identifier:         resultSet
[ 321]operator(46):       .
[ 321]identifier:         rightBorder
[ 321]delimiter:          [
[ 321]identifier:         row
[ 321]delimiter:          ]
[ 321]operator(61):       =
[ 321]identifier:         col
[ 321]delimiter:          ;
[ 322]delimiter:          }
[ 323]identifier:         MiddleLineUpdateAll
[ 323]operator(40):       (
[ 323]operator(41):       )
[ 323]delimiter:          ;
[ 324]delimiter:          }
[ 325]delimiter:          }
[ 327]reserved word(29):  void
[ 327]identifier:         RingEndCompensateFromRight
[ 327]operator(40):       (
[ 327]operator(41):       )
[ 327]delimiter:          {
[ 328]identifier:         int16_t
[ 328]identifier:         row
[ 328]delimiter:          ;
[ 329]identifier:         int16_t
[ 329]identifier:         col
[ 329]delimiter:          ;
[ 330]reserved word(13):  for
[ 330]operator(40):       (
[ 330]identifier:         row
[ 330]operator(61):       =
[ 330]identifier:         last_not_found_border_row
[ 330]delimiter:          ;
[ 330]identifier:         row
[ 330]operator(60):       <
[ 330]identifier:         IMG_ROW
[ 330]delimiter:          ;
[ 330]operator(86):       ++
[ 330]identifier:         row
[ 330]operator(41):       )
[ 330]delimiter:          {
[ 331]reserved word(15):  if
[ 331]operator(40):       (
[ 331]identifier:         resultSet
[ 331]operator(46):       .
[ 331]identifier:         leftBorder
[ 331]delimiter:          [
[ 331]identifier:         row
[ 331]delimiter:          ]
[ 331]operator(62):       >
[ 331]constant:           40
[ 331]operator(41):       )
[ 331]delimiter:          {
[ 332]identifier:         col
[ 332]operator(61):       =
[ 332]identifier:         resultSet
[ 332]operator(46):       .
[ 332]identifier:         leftBorder
[ 332]delimiter:          [
